geonameid,name,latitude,longitude,feature_code,country_code,population
5897321,Bedford,44.72552,-63.66732,PPL,CA,21474
5897323,Bedford,45.11678,-72.98244,PPL,CA,2684
5897540,Beeton,44.07988,-79.7816,PPL,CA,4151
5897652,Belcarra,49.31777,-122.93043,PPL,CA,687
5897681,Belfast,46.08341,-62.88197,PPLL,CA,1687
5897730,Bella Bella,52.16311,-128.14399,PPL,CA,1193
5897884,Belleville,44.16682,-77.38277,PPL,CA,50716
5898070,Bells Corners,45.31588,-75.83012,PPL,CA,9272
5898124,Belmont,42.88339,-81.08303,PPL,CA,1140
5898138,Beloeil,45.56839,-73.20568,PPL,CA,18927
5898265,Bendale,43.76681,-79.25326,PPLX,CA,29960
5898596,Bentley,52.46544,-114.05008,PPL,CA,1024
5899017,Berthierville,46.08336,-73.18245,PPL,CA,4411
5899061,Berwick,45.05015,-64.73208,PPL,CA,2455
5899068,Berwyn,56.15008,-117.73601,PPL,CA,577
5899894,Big Eddy,51,-118.21667,PPL,CA,2000
5899982,Biggar,52.05978,-107.98844,PPL,CA,2068
5900745,Big River,53.83341,-107.01783,PPL,CA,666
5901272,Binbrook,43.12135,-79.81104,PPLX,CA,8796
5902353,Blackburn Hamlet,45.43671,-75.56462,PPL,CA,8173
5902458,Black Diamond,50.68771,-114.23241,PPL,CA,3663
5902599,Blackfalds,52.38342,-113.7853,PPL,CA,11015
5903356,Blackstock,44.10012,-78.81626,PPL,CA,781
5903420,Blackville,46.7398,-65.83186,PPL,CA,914
5903510,Blainville,45.66678,-73.88249,PPL,CA,46493
5903535,Blairmore,49.60002,-114.4353,PPL,CA,1522
5903593,Blaketown,47.4832,-53.5648,PPL,CA,605
5903793,Blind Bay,50.88311,-119.38569,PPL,CA,2369
5903851,Blind River,46.18336,-82.95817,PPL,CA,3422
5903997,Bloomfield,48.3832,-53.8981,PPL,CA,523
5904032,Blossom Park,45.34889,-75.62667,PPL,CA,14190
5904444,Blueridge,49.32917,-122.99167,PPLX,CA,2245
5904501,Bluewater,43.46679,-81.59977,PPL,CA,7044
5905132,Boisbriand,45.61678,-73.83249,PPL,CA,26483
5905152,Bois-des-Filion,45.66678,-73.74918,PPL,CA,8383
5905191,Boissevain,49.23062,-100.05586,PPL,CA,1656
5905308,Bolton,43.87952,-79.73791,PPL,CA,26795
5905348,Bon Accord,53.83345,-113.41872,PPL,CA,1529
5905393,Bonavista,48.64989,-53.11474,PPL,CA,3448
5905396,Bonavista Downs,50.94167,-114.03056,PPLX,CA,830
5905616,Bonnyville,54.26684,-110.73505,PPL,CA,5975
5905881,Borden-Carleton,46.26183,-63.67262,PPL,CA,788
5906129,Bothwell,42.63339,-81.86648,PPL,CA,856
5906229,Botwood,49.14994,-55.34819,PPL,CA,2875
5906267,Boucherville,45.59104,-73.43605,PPL,CA,39062
5906269,Bouchette,46.21681,-75.96605,PPL,CA,695
5906281,Bouctouche,46.46844,-64.73905,PPL,CA,2361
5906575,Bourget,45.43475,-75.16028,PPLL,CA,1169
5906634,Boutiliers Point,44.66569,-63.95055,PPL,CA,765
5906690,Bowen Island,49.3847,-123.33622,PPL,CA,4256
5906757,Bow Island,49.86676,-111.36843,PPL,CA,2025
5906831,Bowmanville,43.91682,-78.68286,PPL,CA,39371
5906836,Bowness,51.08344,-114.16866,PPLX,CA,10770
5907092,Bracebridge,45.03341,-79.31633,PPL,CA,16010
5907237,Bradner,49.1,-122.41667,PPL,CA,3213
5907296,Braeside,50.95421,-114.10538,PPLX,CA,5700
5907364,Brampton,43.68341,-79.76633,PPL,CA,656480
5907896,Brandon,49.84692,-99.95306,PPL,CA,48859
5907983,Brant,43.1334,-80.34967,PPL,CA,34415
5907990,Brantford,43.1334,-80.26636,PPL,CA,104688
5908471,Brentwood,51.09813,-114.13319,PPLX,CA,7410
5908474,Brentwood Park,49.275,-122.99167,PPLX,CA,10500
5908623,West Springs,51.06114,-114.19807,PPLX,CA,11560
5908715,Bridgetown,44.843,-65.289,PPL,CA,970
5908720,Bridgeview,49.2081,-122.86028,PPLX,CA,5082
5908723,Bridgewater,44.37856,-64.51882,PPL,CA,8790
5908738,Bridlewood,50.89979,-114.10812,PPLX,CA,12545
5908809,Brighouse-City Centre,49.16667,-123.13333,PPLX,CA,62855
5909025,Britannia,51.01327,-114.08375,PPLX,CA,765
5909061,British Properties,49.35,-123.13333,PPLX,CA,3800
5909204,Broadmoor,49.15,-123.13333,PPLX,CA,23050
5909278,Brocklehurst,50.70825,-120.41337,PPLX,CA,16713
5909294,Brockville,44.59132,-75.68705,PPL,CA,23886
5909403,Bromont,45.31678,-72.64912,PPL,CA,3895
5909483,Brooklin,43.95833,-78.95972,PPL,CA,25000
5909489,Brooklyn,45.00604,-64.01009,PPL,CA,849
5909514,Brooks,50.58341,-111.88509,PPL,CA,14451
5909573,Brookswood,49.06667,-122.66667,PPLX,CA,13336
5909629,Brossard,45.45008,-73.46583,PPL,CA,69575
5909969,Brownsburg-Chatham,45.68342,-74.4159,PPL,CA,6664
5910229,Brule Shore,45.74074,-63.23788,PPL,CA,592
