geonameid,name,latitude,longitude,feature_class,feature_code,country_code,population
2804880,Zell im Fichtelgebirge,50.13532,11.82266,P,PPL,DE,1903
2804882,Zell,50.02918,7.18232,P,PPL,DE,4402
2804895,Zell,48.69235,8.06301,P,PPL,DE,8043
2804922,Zeitz,51.04962,12.1369,P,PPL,DE,29469
2804925,Zeitlofs,50.26189,9.67243,P,PPL,DE,2228
2804933,Zeitlarn,49.07848,12.11174,P,PPLA4,DE,5849
2804939,Zeithain,51.33356,13.33809,P,PPLA4,DE,5839
2804951,Zeiskam,49.23278,8.24722,P,PPLA4,DE,2283
2805006,Zeilarn,48.30003,12.8426,P,PPLA4,DE,2291
2805008,Zeil,50.00986,10.5947,P,PPL,DE,6016
2805041,Zehnhausen bei Wallmerod,50.47611,7.92361,P,PPLA4,DE,169
2805042,Zehnhausen bei Rennerod,50.64722,8.05972,P,PPLA4,DE,0
2805050,Zehna,53.71592,12.13836,P,PPL,DE,742
2805059,Zehlendorf,52.43333,13.25,P,PPLX,DE,54328
2805075,Zehdenick,52.97852,13.33165,P,PPL,DE,14809
2805095,Zedlitz,50.81667,12.03333,P,PPLA4,DE,741
2805119,Zechin,52.60842,14.45251,P,PPLA4,DE,805
2805193,Zarrentin am Schaalsee,53.54886,10.91669,P,PPLA4,DE,3243
2805195,Zarrendorf,54.23689,13.10094,P,PPL,DE,1127
2805198,Zarpen,53.87039,10.51623,P,PPLA4,DE,1577
2805213,Zarnekow,53.90161,12.89623,P,PPL,DE,519
2805223,Zappendorf,51.51024,11.79514,P,PPL,DE,1592
2805228,Zapfendorf,50.01783,10.93243,P,PPL,DE,5017
2805231,Zapel,53.55347,11.66563,P,PPL,DE,631
2805261,Zangberg,48.2748,12.42311,P,PPLA4,DE,1021
2805264,Zandt,49.15,12.73333,P,PPLA4,DE,1875
2805283,Zaisenhausen,49.10667,8.81278,P,PPLA4,DE,1776
2805313,Zahna,51.9141,12.78561,P,PPL,DE,3623
2805354,Zachenberg,48.96667,13,P,PPLA4,DE,2173
2805357,Zabitz,51.78503,11.92419,P,PPL,DE,549
2805361,Zaberfeld,49.05611,8.92694,P,PPLA4,DE,3843
2805365,Zabeltitz,51.35147,13.50462,P,PPL,DE,3047
2805385,Xanten,51.65877,6.45297,P,PPL,DE,21587
2805396,Wyk auf Föhr,54.6914,8.56702,P,PPL,DE,4429
2805400,Wyhl,48.16617,7.64917,P,PPL,DE,3645
2805419,Wutöschingen,47.66019,8.36755,P,PPLA4,DE,6675
2805448,Wustrow,53.47734,13.15555,P,PPL,DE,1312
2805451,Wustrow,52.9237,11.12846,P,PPL,DE,3086
2805463,Wüstheuterode,51.32332,10.05902,P,PPLA4,DE,675
2805475,Wusterwitz,52.36666,12.38488,P,PPLA4,DE,3184
2805480,Wustermark,52.55,12.95,P,PPLA4,DE,7729
2805481,Wusterhusen,54.11312,13.61608,P,PPL,DE,1370
2805483,Wusterhausen,52.8912,12.46021,P,PPL,DE,6632
2805497,Wüstenrot,49.08083,9.46056,P,PPLA4,DE,6770
2805567,Wust,52.55153,12.11421,P,PPL,DE,868
2805581,Wüschheim,50.01667,7.41667,P,PPLA4,DE,328
2805586,Würzweiler,49.65,7.86667,P,PPLA4,DE,202
2805597,Wurzen,51.3707,12.73939,P,PPL,DE,15233
2805615,Würzburg,49.79391,9.95121,P,PPLA2,DE,133731
2805623,Wurzbach,50.46357,11.53779,P,PPL,DE,3864
2805644,Würselen,50.81809,6.1347,P,PPL,DE,37074
2805652,Würrich,49.98333,7.3,P,PPLA4,DE,160
2805657,Wurmsham,48.35,12.33333,P,PPLA4,DE,1351
2805667,Wurmlingen,48,8.78333,P,PPLA4,DE,3812
2805677,Wurmberg,48.86667,8.81667,P,PPLA4,DE,2898
2805694,Wurmannsquick,48.35334,12.78603,P,PPL,DE,3710
2805727,Würchwitz,51.01905,12.22744,P,PPL,DE,634
2805753,Wuppertal,51.25627,7.14816,P,PPLA3,DE,360797
2805761,Wunstorf,52.42377,9.43585,P,PPL,DE,42080
2805762,Wunsiedel,50.03923,12.00342,P,PPLA3,DE,10295
2805773,Wünschendorf,50.79662,12.09824,P,PPL,DE,3257
2805785,Bad Wünnenberg,51.52002,8.69934,P,PPL,DE,12439
2805793,Wundersleben,51.15445,11.03885,P,PPLA4,DE,772
2805825,Wulsbüttel,53.31667,8.66667,P,PPLX,DE,1967
2805861,Wülknitz,51.36667,13.4,P,PPLA4,DE,1877
2805865,Wulkenzin,53.54445,13.16921,P,PPL,DE,1579
2805870,Wulften,51.65999,10.17437,P,PPLA4,DE,2127
2805877,Wulfsmoor,53.91233,9.72402,P,PPLA4,DE,389
2805891,Wulfsen,53.3,10.15,P,PPLA4,DE,1582
2805910,Wülfrath,51.28195,7.03821,P,PPL,DE,21003
2805925,Wulferstedt,52.01961,11.13142,P,PPL,DE,894
2805928,Wülfershausen,50.33201,10.34084,P,PPL,DE,1469
2805933,Wülferode,52.32854,9.84985,P,PPL,DE,966
2805945,Wulfen,51.81938,11.93063,P,PPL,DE,1215
